query,dataset,library,time,memory,outputs,throughput,fot
\n!x{[^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.21,153911296.0,29.0,362478771.42857146,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.22,153960448.0,67.0,346002636.3636364,0.0
\n!x{[^\n]* DISTINCT [^\n]* GROUP BY [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153796608.0,80.0,346002695.45454544,0.0
\n!x{[^\n]* PREFIX [^\n]* WHERE [^\n]* GROUP BY [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153878528.0,95.0,346002763.6363636,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,154009600.0,51.0,346002563.6363636,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*\n[^\n]* AS [^\n]* WHERE [^\n]*}\n,sparql,RE2,0.22,153944064.0,61.0,346002609.09090906,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*\n[^\n]* DISTINCT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153796608.0,53.0,346002572.72727275,0.0
\n!x{[^\n]* SELECT [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153944064.0,80.0,346002695.45454544,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,153829376.0,67.0,346002636.3636364,0.0
\n!x{[^\n]* DISTINCT [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* AS [^\n]*}\n,sparql,RE2,0.22,153944064.0,36.0,346002495.45454544,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.22,153927680.0,24.0,346002440.90909094,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153812992.0,52.0,346002568.1818182,0.0
\n!x{[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,153812992.0,98.0,346002777.27272725,0.0
\n!x{[^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.22,154042368.0,69.0,346002645.45454544,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.22,153780224.0,28.0,346002459.09090906,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,154157056.0,98.0,346002777.27272725,0.0
\n!x{[^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.22,153763840.0,85.0,346002718.1818182,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*\n[^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,153845760.0,40.0,346002513.6363636,0.0
\n!x{[^\n]* WHERE [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.22,153927680.0,69.0,346002645.45454544,0.0
\n!x{[^\n]* WHERE [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,154042368.0,41.0,346002518.1818182,0.0
\n!x{[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* LIMIT [^\n]*}\n,sparql,RE2,0.22,153878528.0,62.0,346002613.6363636,0.0
\n!x{[^\n]* AS [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* DISTINCT [^\n]*}\n,sparql,RE2,0.24,153927680.0,875.0,317172450.0,0.0
\n!x{[^\n]* SELECT [^\n]* LIMIT [^\n]*\n[^\n]* SELECT [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,153829376.0,546.0,346004813.6363636,0.0
\n!x{[^\n]* DISTINCT [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,153894912.0,305.0,330960078.2608696,0.0
\n!x{[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,153796608.0,280.0,330959969.5652174,0.0
\n!x{[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* LIMIT [^\n]*}\n,sparql,RE2,0.22,153796608.0,101.0,346002790.90909094,0.0
\n!x{[^\n]* GROUP BY [^\n]*\n[^\n]* WHERE [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.23,153829376.0,594.0,330961334.7826087,0.0
\n!x{[^\n]* WHERE [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,154091520.0,286.0,330959995.6521739,0.0
\n!x{[^\n]* DISTINCT [^\n]* FILTER [^\n]*\n[^\n]* DISTINCT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,153944064.0,280.0,330959969.5652174,0.0
\n!x{[^\n]* SELECT [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,154304512.0,111.0,330959234.7826087,0.0
\n!x{[^\n]* SELECT [^\n]* LIMIT [^\n]*\n[^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.22,153862144.0,547.0,346004818.1818182,0.0
\n!x{[^\n]* PREFIX [^\n]* SELECT [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* LIMIT [^\n]*}\n,sparql,RE2,0.22,153960448.0,399.0,346004145.45454544,0.0
\n!x{[^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.23,154124288.0,590.0,330961317.3913043,0.0
\n!x{[^\n]* PREFIX [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,154206208.0,294.0,330960030.43478256,0.0
\n!x{[^\n]* PREFIX [^\n]* DISTINCT [^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,154222592.0,298.0,330960047.82608694,0.0
\n!x{[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* GROUP BY [^\n]*\n[^\n]* WHERE [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.23,154107904.0,570.0,330961230.43478256,0.0
\n!x{[^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,154157056.0,596.0,330961343.4782609,0.0
\n!x{[^\n]* SELECT [^\n]* GROUP BY [^\n]*\n[^\n]* AS [^\n]*}\n,sparql,RE2,0.22,153862144.0,258.0,346003504.54545456,0.0
\n!x{[^\n]* WHERE [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.23,153960448.0,574.0,330961247.82608694,0.0
\n!x{[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* ORDER BY [^\n]*}\n,sparql,RE2,0.24,153976832.0,569.0,317171175.0,0.0
\n!x{[^\n]* DISTINCT [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,153927680.0,280.0,330959969.5652174,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.24,153976832.0,300.0,317170054.1666667,0.0
\n!x{[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* ORDER BY [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.24,154288128.0,1005.0,317172991.6666667,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.25,154124288.0,1421.0,304487736.0,0.0
\n!x{[^\n]* AS [^\n]*\n[^\n]* SELECT [^\n]*}\n,sparql,RE2,0.23,153894912.0,1371.0,330964713.04347825,0.0
\n!x{[^\n]* PREFIX [^\n]* SELECT [^\n]* GROUP BY [^\n]*\n[^\n]* WHERE [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.25,154157056.0,1291.0,304487216.0,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.25,153845760.0,1258.0,304487084.0,0.0
\n!x{[^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.26,154435584.0,1253.0,292776023.0769231,0.0
\n!x{[^\n]* SELECT [^\n]* ORDER BY [^\n]*\n[^\n]* WHERE [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.27,154566656.0,1268.0,281932522.2222222,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]* LIMIT [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.23,154058752.0,730.0,330961926.0869565,0.0
\n!x{[^\n]* ORDER BY [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.24,153927680.0,1029.0,317173091.6666667,0.0
\n!x{[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.26,154009600.0,1165.0,292775684.6153846,0.0
\n!x{[^\n]* DISTINCT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.25,153829376.0,1356.0,304487476.0,0.0
\n!x{[^\n]* PREFIX [^\n]* WHERE [^\n]* FILTER [^\n]*\n[^\n]* WHERE [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.27,154370048.0,1446.0,281933181.4814815,0.0
\n!x{[^\n]* PREFIX [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.26,154124288.0,1269.0,292776084.6153846,0.0
\n!x{[^\n]* WHERE [^\n]* GROUP BY [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* WHERE [^\n]*}\n,sparql,RE2,0.27,154107904.0,1672.0,281934018.5185185,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* GROUP BY [^\n]*}\n,sparql,RE2,0.25,154353664.0,1208.0,304486884.0,0.0
\n!x{[^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.26,154517504.0,1229.0,292775930.7692308,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* LIMIT [^\n]*}\n,sparql,RE2,0.25,154124288.0,1943.0,304489824.0,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* FILTER [^\n]*\n[^\n]* DISTINCT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.27,154370048.0,1242.0,281932425.9259259,0.0
\n!x{[^\n]* WHERE [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]*}\n,sparql,RE2,0.26,153960448.0,1269.0,292776084.6153846,0.0
\n!x{[^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* DISTINCT [^\n]*}\n,sparql,RE2,0.25,154075136.0,1265.0,304487112.0,0.0
\n!x{[^\n]* SELECT [^\n]* GROUP BY [^\n]* ORDER BY [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,0.26,154304512.0,1523.0,292777061.5384615,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* PREFIX [^\n]*\n[^\n]* SELECT [^\n]* FILTER [^\n]*}\n,sparql,RE2,1.03,154517504.0,18997.0,73921854.36893204,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* SELECT [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,1.1,154697728.0,30301.0,69228012.72727272,0.0
\n!x{[^\n]* PREFIX [^\n]* DISTINCT [^\n]* FILTER [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]*}\n,sparql,RE2,0.87,154615808.0,18821.0,87516475.86206897,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.85,154714112.0,17649.0,89574308.23529412,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]* FILTER [^\n]*}\n,sparql,RE2,1.01,154632192.0,19142.0,75385797.02970298,0.0
\n!x{[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.8,154255360.0,18563.0,95173845.0,0.0
\n!x{[^\n]* SELECT [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* DISTINCT [^\n]*}\n,sparql,RE2,1.26,154550272.0,26613.0,60434226.984126985,0.0
\n!x{[^\n]* PREFIX [^\n]* OPTIONAL [^\n]*\n[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.84,154533888.0,26914.0,90651698.8095238,0.0
\n!x{[^\n]* DISTINCT [^\n]* WHERE [^\n]*\n[^\n]* FILTER [^\n]*}\n,sparql,RE2,0.68,154206208.0,19057.0,111969955.88235292,0.0
\n!x{[^\n]* WHERE [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.98,154435584.0,22415.0,77696865.30612245,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* DISTINCT [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,1.12,154550272.0,30186.0,67991695.53571428,0.0
\n!x{[^\n]* DISTINCT [^\n]* WHERE [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.79,154779648.0,25088.0,96386836.70886075,0.0
\n!x{[^\n]* WHERE [^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* SELECT [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.85,154664960.0,22423.0,89579924.70588236,0.0
\n!x{[^\n]* DISTINCT [^\n]*\n[^\n]* PREFIX [^\n]* PREFIX [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.21,154501120.0,33048.0,62936827.27272727,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* PREFIX [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]* FILTER [^\n]*}\n,sparql,RE2,1.18,154681344.0,18640.0,64524705.93220339,0.0
\n!x{[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* FILTER [^\n]*}\n,sparql,RE2,0.88,154386432.0,17346.0,86520294.31818181,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.77,154435584.0,32249.0,98899690.9090909,0.0
\n!x{[^\n]* FILTER [^\n]*\n[^\n]* SELECT [^\n]*}\n,sparql,RE2,0.52,154271744.0,19683.0,146423453.84615386,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]*}\n,sparql,RE2,1.0,154746880.0,29650.0,76150163.0,0.0
\n!x{[^\n]* PREFIX [^\n]* PREFIX [^\n]* DISTINCT [^\n]*\n[^\n]* OPTIONAL [^\n]* OPTIONAL [^\n]*}\n,sparql,RE2,0.86,154632192.0,25006.0,88541301.1627907,0.0
\n!x{[^\n]* DISTINCT [^\n]* OPTIONAL [^\n]*\n[^\n]* PREFIX [^\n]* DISTINCT [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.12,154533888.0,29392.0,67990986.60714285,0.0
\n!x{[^\n]* DISTINCT [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,0.97,154337280.0,35444.0,78511295.87628867,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]*}\n,sparql,RE2,0.87,154255360.0,35530.0,87535681.6091954,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]*}\n,sparql,RE2,0.87,154271744.0,36630.0,87536945.9770115,0.0
\n!x{[^\n]* PREFIX [^\n]* SELECT [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,1.05,154566656.0,35530.0,72529564.76190476,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,1.01,154566656.0,36636.0,75403117.82178217,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]*}\n,sparql,RE2,1.02,154451968.0,35525.0,74662782.35294117,0.0
\n!x{[^\n]* SELECT [^\n]*\n[^\n]* SELECT [^\n]*}\n,sparql,RE2,0.91,154402816.0,35114.0,83687502.1978022,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,0.87,154255360.0,38886.0,87539539.08045977,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]*}\n,sparql,RE2,1.02,154451968.0,35114.0,74662379.41176471,0.0
\n!x{[^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.15,154501120.0,35114.0,66222284.34782609,0.0
\n!x{[^\n]* SELECT [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.01,154550272.0,35114.0,75401610.89108911,0.0
\n!x{[^\n]* PREFIX [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,0.92,154484736.0,35538.0,82778316.30434783,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* SELECT [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.0,154337280.0,36630.0,76157143.0,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* SELECT [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.15,154599424.0,35525.0,66222641.73913044,0.0
\n!x{[^\n]* PREFIX [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,1.02,154419200.0,35530.0,74662787.25490196,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* DISTINCT [^\n]*}\n,sparql,RE2,0.86,154370048.0,35444.0,88553438.37209302,0.0
\n!x{[^\n]* DISTINCT [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,0.89,154370048.0,35444.0,85568491.01123595,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* DISTINCT [^\n]* WHERE [^\n]*}\n,sparql,RE2,0.98,154681344.0,35444.0,77710160.20408164,0.0
\n!x{[^\n]* PREFIX [^\n]* SELECT [^\n]* WHERE [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,1.16,154550272.0,35530.0,65651761.20689656,0.0
\n!x{[^\n]* WHERE [^\n]*\n[^\n]* PREFIX [^\n]* WHERE [^\n]*}\n,sparql,RE2,1.0,154468352.0,35525.0,76156038.0,0.0
\n!x{[^\n]* SELECT [^\n]*\n[^\n]* WHERE [^\n]*}\n,sparql,RE2,0.89,154370048.0,36636.0,85569830.33707865,0.0
